date,home_team,away_team,home_score,away_score,league,season,home_xg,away_xg,lahde,vaihe,home_uefa_id,away_uefa_id,home_maa,away_maa,home_nimet,away_nimet
2024-09-25,PFC Ludogorets 1945,SK Slavia Praha,0,2,INT-Europa League,2425,,,uefa,TOURNAMENT,2603104,52498,BUL,CZE,PFC Ludogorets 1945|Ludogorets,SK Slavia Praha|Slavia Praha
2024-09-25,FC Midtjylland,TSG 1899 Hoffenheim,1,1,INT-Europa League,2425,,,uefa,TOURNAMENT,75795,2600431,DEN,GER,FC Midtjylland|Midtjylland,TSG 1899 Hoffenheim|Hoffenheim
2024-09-25,OGC Nice,Real Sociedad de Fútbol,1,1,INT-Europa League,2425,,,uefa,TOURNAMENT,52355,50123,FRA,ESP,OGC Nice|Nice,Real Sociedad de Fútbol|Real Sociedad
2024-09-25,RSC Anderlecht,Ferencvárosi TC,2,1,INT-Europa League,2425,,,uefa,TOURNAMENT,50074,52298,BEL,HUN,RSC Anderlecht|Anderlecht,Ferencvárosi TC|Ferencváros
2024-09-26,Fenerbahçe SK,R. Union Saint-Gilloise,2,1,INT-Europa League,2425,,,uefa,TOURNAMENT,52692,64125,TUR,BEL,Fenerbahçe SK|Fenerbahçe,R. Union Saint-Gilloise|Union SG
2024-09-26,Malmö FF,Rangers FC,0,2,INT-Europa League,2425,,,uefa,TOURNAMENT,50152,50121,SWE,SCO,Malmö FF|Malmö,Rangers FC|Rangers
2024-09-26,AS Roma,Athletic Club,1,1,INT-Europa League,2425,,,uefa,TOURNAMENT,50137,50125,ITA,ESP,AS Roma|Roma,Athletic Club
2024-09-26,AFC Ajax,Beşiktaş JK,4,0,INT-Europa League,2425,,,uefa,TOURNAMENT,50143,50157,NED,TUR,AFC Ajax|Ajax,Beşiktaş JK|Beşiktaş
2024-09-26,Eintracht Frankfurt,FC Viktoria Plzeň,3,3,INT-Europa League,2425,,,uefa,TOURNAMENT,50072,64388,GER,CZE,Eintracht Frankfurt|Frankfurt,FC Viktoria Plzeň|Viktoria Plzeň
2024-09-26,SC Braga,Maccabi Tel-Aviv FC,2,1,INT-Europa League,2425,,,uefa,TOURNAMENT,52336,57477,POR,ISR,SC Braga|Braga,Maccabi Tel-Aviv FC|M. Tel-Aviv
2024-09-26,Olympique Lyonnais,Olympiacos FC,2,0,INT-Europa League,2425,,,uefa,TOURNAMENT,5312,2610,FRA,GRE,Olympique Lyonnais|Lyon,Olympiacos FC|Olympiacos
2024-09-26,Fotbal Club FCSB,FC RFS,4,1,INT-Europa League,2425,,,uefa,TOURNAMENT,50065,2609104,ROU,LVA,Fotbal Club FCSB|FCSB,FC RFS|RFS
2024-09-26,Tottenham Hotspur,Qarabağ FK,3,0,INT-Europa League,2425,,,uefa,TOURNAMENT,1652,60609,ENG,AZE,Tottenham Hotspur|Tottenham,Qarabağ FK|Qarabağ
2024-10-03,S.S. Lazio,OGC Nice,4,1,INT-Europa League,2425,,,uefa,TOURNAMENT,52973,52355,ITA,FRA,S.S. Lazio|Lazio,OGC Nice|Nice
2024-10-03,SK Slavia Praha,AFC Ajax,1,1,INT-Europa League,2425,,,uefa,TOURNAMENT,52498,50143,CZE,NED,SK Slavia Praha|Slavia Praha,AFC Ajax|Ajax
2024-10-03,Real Sociedad de Fútbol,RSC Anderlecht,1,2,INT-Europa League,2425,,,uefa,TOURNAMENT,50123,50074,ESP,BEL,Real Sociedad de Fútbol|Real Sociedad,RSC Anderlecht|Anderlecht
2024-10-03,Olympiacos FC,SC Braga,3,0,INT-Europa League,2425,,,uefa,TOURNAMENT,2610,52336,GRE,POR,Olympiacos FC|Olympiacos,SC Braga|Braga
2024-10-03,Maccabi Tel-Aviv FC,FC Midtjylland,0,2,INT-Europa League,2425,,,uefa,TOURNAMENT,57477,75795,ISR,DEN,Maccabi Tel-Aviv FC|M. Tel-Aviv,FC Midtjylland|Midtjylland
2024-10-03,Ferencvárosi TC,Tottenham Hotspur,1,2,INT-Europa League,2425,,,uefa,TOURNAMENT,52298,1652,HUN,ENG,Ferencvárosi TC|Ferencváros,Tottenham Hotspur|Tottenham
2024-10-03,Qarabağ FK,Malmö FF,1,2,INT-Europa League,2425,,,uefa,TOURNAMENT,60609,50152,AZE,SWE,Qarabağ FK|Qarabağ,Malmö FF|Malmö
2024-10-03,TSG 1899 Hoffenheim,FC Dynamo Kyiv,2,0,INT-Europa League,2425,,,uefa,TOURNAMENT,2600431,52723,GER,UKR,TSG 1899 Hoffenheim|Hoffenheim,FC Dynamo Kyiv|Dynamo Kyiv
2024-10-03,FC RFS,Galatasaray A.Ş.,2,2,INT-Europa League,2425,,,uefa,TOURNAMENT,2609104,50067,LVA,TUR,FC RFS|RFS,Galatasaray A.Ş.|Galatasaray
2024-10-03,FC Porto,Manchester United,3,3,INT-Europa League,2425,,,uefa,TOURNAMENT,50064,52682,POR,ENG,FC Porto|Porto,Manchester United|Man Utd
2024-10-03,Rangers FC,Olympique Lyonnais,1,4,INT-Europa League,2425,,,uefa,TOURNAMENT,50121,5312,SCO,FRA,Rangers FC|Rangers,Olympique Lyonnais|Lyon
2024-10-03,PAOK FC,Fotbal Club FCSB,0,1,INT-Europa League,2425,,,uefa,TOURNAMENT,50130,50065,GRE,ROU,PAOK FC|PAOK,Fotbal Club FCSB|FCSB
2024-10-03,FC Viktoria Plzeň,PFC Ludogorets 1945,0,0,INT-Europa League,2425,,,uefa,TOURNAMENT,64388,2603104,CZE,BUL,FC Viktoria Plzeň|Viktoria Plzeň,PFC Ludogorets 1945|Ludogorets
2024-10-03,R. Union Saint-Gilloise,FK Bodø/Glimt,0,0,INT-Europa League,2425,,,uefa,TOURNAMENT,64125,59333,BEL,NOR,R. Union Saint-Gilloise|Union SG,FK Bodø/Glimt|Bodø/Glimt
2024-10-03,Athletic Club,AZ Alkmaar,2,0,INT-Europa League,2425,,,uefa,TOURNAMENT,50125,52327,ESP,NED,Athletic Club,AZ Alkmaar
2024-10-03,FC Twente,Fenerbahçe SK,1,1,INT-Europa League,2425,,,uefa,TOURNAMENT,52818,52692,NED,TUR,FC Twente|Twente,Fenerbahçe SK|Fenerbahçe
2024-10-03,Beşiktaş JK,Eintracht Frankfurt,1,3,INT-Europa League,2425,,,uefa,TOURNAMENT,50157,50072,TUR,GER,Beşiktaş JK|Beşiktaş,Eintracht Frankfurt|Frankfurt
2024-10-03,IF Elfsborg,AS Roma,1,0,INT-Europa League,2425,,,uefa,TOURNAMENT,52344,50137,SWE,ITA,IF Elfsborg|Elfsborg,AS Roma|Roma
2024-10-23,SC Braga,FK Bodø/Glimt,1,2,INT-Europa League,2425,,,uefa,TOURNAMENT,52336,59333,POR,NOR,SC Braga|Braga,FK Bodø/Glimt|Bodø/Glimt
2024-10-23,Galatasaray A.Ş.,IF Elfsborg,4,3,INT-Europa League,2425,,,uefa,TOURNAMENT,50067,52344,TUR,SWE,Galatasaray A.Ş.|Galatasaray,IF Elfsborg|Elfsborg
2024-10-24,AS Roma,FC Dynamo Kyiv,1,0,INT-Europa League,2425,,,uefa,TOURNAMENT,50137,52723,ITA,UKR,AS Roma|Roma,FC Dynamo Kyiv|Dynamo Kyiv
2024-10-24,Eintracht Frankfurt,FC RFS,1,0,INT-Europa League,2425,,,uefa,TOURNAMENT,50072,2609104,GER,LVA,Eintracht Frankfurt|Frankfurt,FC RFS|RFS
2024-10-24,PAOK FC,FC Viktoria Plzeň,2,2,INT-Europa League,2425,,,uefa,TOURNAMENT,50130,64388,GRE,CZE,PAOK FC|PAOK,FC Viktoria Plzeň|Viktoria Plzeň
2024-10-24,Maccabi Tel-Aviv FC,Real Sociedad de Fútbol,1,2,INT-Europa League,2425,,,uefa,TOURNAMENT,57477,50123,ISR,ESP,Maccabi Tel-Aviv FC|M. Tel-Aviv,Real Sociedad de Fútbol|Real Sociedad
2024-10-24,Ferencvárosi TC,OGC Nice,1,0,INT-Europa League,2425,,,uefa,TOURNAMENT,52298,52355,HUN,FRA,Ferencvárosi TC|Ferencváros,OGC Nice|Nice
2024-10-24,Qarabağ FK,AFC Ajax,0,3,INT-Europa League,2425,,,uefa,TOURNAMENT,60609,50143,AZE,NED,Qarabağ FK|Qarabağ,AFC Ajax|Ajax
2024-10-24,FC Midtjylland,R. Union Saint-Gilloise,1,0,INT-Europa League,2425,,,uefa,TOURNAMENT,75795,64125,DEN,BEL,FC Midtjylland|Midtjylland,R. Union Saint-Gilloise|Union SG
2024-10-24,FC Porto,TSG 1899 Hoffenheim,2,0,INT-Europa League,2425,,,uefa,TOURNAMENT,50064,2600431,POR,GER,FC Porto|Porto,TSG 1899 Hoffenheim|Hoffenheim
2024-10-24,Rangers FC,Fotbal Club FCSB,4,0,INT-Europa League,2425,,,uefa,TOURNAMENT,50121,50065,SCO,ROU,Rangers FC|Rangers,Fotbal Club FCSB|FCSB
2024-10-24,Tottenham Hotspur,AZ Alkmaar,1,0,INT-Europa League,2425,,,uefa,TOURNAMENT,1652,52327,ENG,NED,Tottenham Hotspur|Tottenham,AZ Alkmaar
